"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.970022500E0,-1.808239746E0,9.583670654E0,-5.298980713E-1
4.990064500E0,-1.838476868E0,9.535770264E0,-4.959187317E-1
5.010105500E0,-1.862277374E0,9.624236298E0,-4.216731262E-1
5.030147500E0,-1.828447723E0,9.596693573E0,-4.917274475E-1
5.050188500E0,-1.848805389E0,9.547445984E0,-5.230123901E-1
5.070229500E0,-1.864073639E0,9.584119720E0,-4.673281860E-1
5.090271500E0,-1.909429321E0,9.621990967E0,-5.842350769E-1
5.110312500E0,-1.894310760E0,9.661957855E0,-6.198609924E-1
5.130354500E0,-1.944755859E0,9.607770538E0,-5.224136353E-1
5.150395500E0,-1.848655701E0,9.518106995E0,-4.984634399E-1
5.170437500E0,-1.833387451E0,9.508077850E0,-4.496649170E-1
5.190478500E0,-1.902393951E0,9.489815826E0,-4.989125061E-1
5.210520500E0,-1.921703796E0,9.530830536E0,-4.637356567E-1
5.230561500E0,-1.940863953E0,9.546697540E0,-6.147715759E-1
5.250603500E0,-1.945504303E0,9.499246216E0,-5.337899780E-1
5.270644500E0,-1.895208893E0,9.530680847E0,-5.221142578E-1
5.290686500E0,-2.018103333E0,9.694290619E0,-6.039939880E-1
5.310727500E0,-2.029928741E0,1.005653732E1,-7.812254333E-1
5.330769500E0,-2.255359955E0,1.025128235E1,-4.534071350E-1
5.350810500E0,-2.478695526E0,1.003782623E1,2.995271301E-1
5.370851500E0,-3.159779205E0,1.011671219E1,1.053209839E0
5.390893500E0,-2.816542969E0,1.083297272E1,3.382965088E-1
5.410934500E0,-2.347268829E0,9.899962921E0,-1.686991882E-1
5.430976500E0,-2.312541046E0,8.827443237E0,-1.429527283E0
5.451017500E0,-2.132615204E0,8.343349915E0,-2.070494385E0
5.471059500E0,-1.605860596E0,7.070247345E0,-6.096821594E-1
5.491100500E0,-1.518143005E0,7.164102173E0,6.631210327E-2
5.511142500E0,-1.756297760E0,8.974736938E0,-1.059646454E0
5.531183500E0,-3.503165131E0,1.072729248E1,1.789229279E0
5.551225500E0,-3.809877319E0,1.073896820E1,-6.487509155E-1
5.571266500E0,-3.248993683E0,9.498048706E0,-4.706213379E-1
5.591308583E0,-3.060236206E0,8.859776001E0,1.681004333E-1
5.611349583E0,-2.711910553E0,8.965755615E0,-4.676275635E-1
5.631390583E0,-2.254910889E0,9.257947998E0,-8.717871094E-1
5.651432583E0,-1.728904724E0,9.219028931E0,-7.897576904E-1
5.671473583E0,-1.426683197E0,9.340426483E0,-1.318757629E0
5.691515583E0,-8.328680420E-1,9.698332214E0,-1.330433350E0
5.711556583E0,-4.129911804E-1,1.062325882E1,-9.894424438E-1
5.731598583E0,1.291813660E-1,1.084180435E1,-2.749781799E-1
5.751639583E0,1.878593445E-1,9.959089966E0,-1.065783691E0
5.771681583E0,-5.475613403E-1,9.227112122E0,5.150788879E-1
5.791722583E0,-1.008901978E-1,9.304052124E0,1.025966492E0
5.811764583E0,1.460961914E-1,1.002644989E1,-7.424560547E-2
5.831805583E0,7.503895569E-1,9.960886230E0,-1.294807434E-1
5.851847583E0,4.715194702E-1,9.150920563E0,-2.785707092E-1
5.871888583E0,-2.914439392E-1,9.188043365E0,2.812651062E-1
5.891929583E0,-8.637039185E-1,9.568103027E0,9.845027161E-1
5.911971583E0,-1.121467896E0,9.640851746E0,7.423063660E-1
5.932012583E0,-1.144969025E0,9.418563995E0,2.107617188E-1
5.952054583E0,-1.152752838E0,9.386979675E0,-1.164578247E-1
5.972095583E0,-9.225315857E-1,9.588011627E0,-3.556604004E-1
5.992137583E0,-6.051914978E-1,9.806706848E0,-2.670446777E-1
6.012178583E0,-3.998185730E-1,1.005489075E1,4.146377563E-2
6.032220583E0,-3.188369751E-1,1.014470398E1,1.688488770E-1
6.052261583E0,-1.984872437E-1,1.014964371E1,-3.053649902E-2
6.072303583E0,-1.282832336E-1,1.005698639E1,1.582209778E-1
6.092344583E0,2.912942505E-1,1.013108231E1,-1.499880981E-1
6.112385583E0,6.659651184E-1,1.073462723E1,-7.696994019E-1
6.132427583E0,6.397695923E-1,1.131167725E1,9.819580078E-2
6.152468583E0,1.136137390E0,1.190968369E1,8.349636841E-1
6.172510583E0,1.369801483E0,1.352557343E1,2.757266235E-1
6.192551583E0,5.572911072E-1,1.473386078E1,-9.195378113E-1
6.212593583E0,-9.621990967E-1,1.367990250E1,-1.498384094E0
6.232634583E0,-1.537602539E0,1.137334900E1,-1.501826935E0
6.252676583E0,-2.075284424E0,9.238039398E0,-9.957293701E-1
6.272717583E0,-2.603835297E0,8.520731049E0,2.316582642E0
6.292759583E0,-4.371359711E0,9.572893066E0,3.247796173E0
6.312800583E0,-5.963748322E0,1.121018829E1,1.736239471E0
6.332841583E0,-6.355034637E0,1.117860397E1,7.644602966E-1
6.352883583E0,-4.118086395E0,1.038540344E1,9.717791748E-1
6.372924583E0,-2.556833038E0,1.031205597E1,1.501826935E0
6.392966583E0,-1.461410980E0,1.099478622E1,1.217717743E0
6.413007583E0,-5.471122742E-1,1.079525116E1,1.403780823E0
6.433049583E0,-1.298699341E0,9.287286987E0,3.775149536E-1
6.453090583E0,-2.679727478E0,7.828271027E0,4.385879517E-2
6.473132583E0,-3.836072845E0,6.779551849E0,1.159937897E0
6.493173583E0,-2.481689301E0,6.563401337E0,2.799628143E0
6.513215583E0,-1.913770294E0,6.692732391E0,3.125650177E0
6.533256583E0,-2.006577301E0,5.997577972E0,2.726580048E0
6.553297583E0,-2.484533386E0,5.031786346E0,3.087928619E0
6.573339583E0,-2.164049835E0,5.035977631E0,4.045487366E0
6.593380958E0,-1.362017670E0,5.546565857E0,4.592899017E0
6.613422958E0,-8.921447754E-1,6.370452576E0,4.581672363E0
6.633463958E0,-1.192869415E0,6.969207458E0,4.929249573E0
6.653505958E0,-9.352551270E-1,7.390132141E0,4.726870422E0
6.673546958E0,-8.768765259E-1,8.560697937E0,4.371210022E0
6.693588958E0,-8.913963318E-1,9.848170624E0,4.654271393E0
6.713629958E0,6.959028625E-1,1.093386292E1,5.731880493E0
6.733671958E0,2.386187897E0,1.069316345E1,5.117408295E0
6.753712958E0,1.073417816E0,9.267827454E0,4.620292053E0
6.773753958E0,-1.042581940E0,7.330106964E0,3.675756226E0
6.793795958E0,-4.083957367E0,7.589667206E0,2.238295441E0
6.813836958E0,-7.510182495E0,1.127290787E1,3.538641357E0
6.833878958E0,-7.222031708E0,1.874012970E1,2.447260895E0
6.853919958E0,-2.891387329E0,1.566237991E1,1.653760986E0
6.873961958E0,6.596781921E-1,6.692582703E0,-5.389392700E0
6.894002958E0,8.958869934E-1,3.318449249E0,-4.011508026E0
6.914044958E0,-1.244362335E0,6.350693665E0,-4.950205994E-1
6.934085958E0,-1.592687988E0,1.054886353E1,-3.954776001E-1
6.954126958E0,-2.582130432E-1,1.217538116E1,-2.918930054E-2
6.974168958E0,-5.517526245E-1,1.146705414E1,2.106120300E-1
6.994209958E0,-2.403701477E0,9.948911133E0,1.556762695E0
7.014251958E0,-2.958747253E0,8.382867737E0,1.599873047E0
7.034292958E0,-2.753973083E0,7.893235931E0,9.125024414E-1
7.054334958E0,-1.338067474E0,8.518934784E0,-5.854325867E-1
7.074375958E0,-4.182302856E-1,9.341623993E0,-1.430126038E0
7.094417958E0,4.677772522E-1,9.930798798E0,-7.243437195E-1
7.114458958E0,1.131646729E-1,9.968071289E0,7.933502197E-2
7.134500958E0,-7.441026306E-1,9.640252991E0,3.007246399E-1
7.154541958E0,-1.343007202E0,9.120084686E0,-5.688171387E-2
7.174582958E0,-1.786235504E0,9.306447144E0,-2.432441711E-1
7.194624958E0,-1.936223602E0,9.485624542E0,-6.057902527E-1
7.214665958E0,-1.771865387E0,9.289682007E0,-5.451663208E-1
7.234707958E0,-1.520388336E0,9.224717102E0,-2.142045593E-1
7.254748958E0,-1.308429108E0,9.710457001E0,4.249662781E-1
7.274790958E0,-1.005010071E0,1.024215134E1,1.635049896E0
7.294831958E0,-6.676116943E-2,1.056458084E1,9.478289795E-1
7.314873958E0,3.809577942E-1,1.111783035E1,-1.364562378E0
7.334914958E0,-9.550140381E-2,1.134880005E1,-1.681603088E0
7.354955958E0,-1.624122620E-1,1.099897751E1,-2.101629639E-1
