"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.337708208E0,-1.088689491E-1,-2.440897822E-1,-2.402476221E-2
4.357752208E0,-1.327720433E-1,-2.573510408E-1,-2.767322958E-2
4.377796208E0,-1.267406195E-1,-2.656243145E-1,-4.033124819E-2
4.397840208E0,-1.042551100E-1,-2.746270001E-1,-3.041515499E-2
4.417884208E0,-5.116754025E-2,-1.710060984E-1,-4.545413423E-3
4.437928333E0,-2.799593657E-2,-1.318500638E-1,5.972284824E-3
4.457973333E0,-7.678949833E-2,-1.895427555E-1,-3.364522243E-3
4.478017333E0,-7.769513875E-2,-1.335247308E-1,2.513039485E-2
4.498061333E0,-1.079269126E-1,-1.933771819E-1,1.861800812E-2
4.518105333E0,-9.215649217E-2,-1.862225384E-1,2.722670324E-2
4.538149333E0,-6.962160021E-2,-2.070370615E-1,2.083002962E-2
4.558193333E0,-5.674050748E-2,-1.507675052E-1,9.540968575E-3
4.578237333E0,-2.907666005E-2,-7.719204575E-2,-1.489987597E-2
4.598281333E0,1.388387475E-2,-1.907989010E-2,-2.173049748E-2
4.618326333E0,3.964637220E-2,-2.064972185E-2,-1.356126461E-2
4.638370333E0,2.868339047E-2,-2.053478174E-2,-1.320231939E-3
4.658414333E0,1.352535933E-2,1.962589566E-3,8.385330439E-3
4.678458333E0,1.534737530E-3,3.060946427E-2,4.140565637E-3
4.698502333E0,6.212939974E-3,3.951082379E-2,-2.871151082E-4
4.718546333E0,1.495428104E-2,3.011865914E-2,-2.571796300E-3
4.738590333E0,1.160062477E-2,2.540965006E-2,1.121541252E-3
4.758634333E0,1.362164738E-3,1.292847097E-2,1.004959922E-3
4.778679333E0,-9.471446276E-3,-1.768045500E-2,1.436624443E-3
4.798723333E0,-2.616363391E-2,-5.537685379E-2,-9.992928244E-4
4.818767333E0,-3.919914365E-2,-7.452274114E-2,-7.918674964E-4
4.838811333E0,-3.720287234E-2,-6.795220822E-2,-1.360476715E-3
4.858855333E0,-3.113686480E-2,-6.175491586E-2,2.425438957E-3
4.878899333E0,-2.303605340E-2,-7.198869437E-2,5.317583680E-3
4.898943333E0,-2.760569006E-2,-6.310800463E-2,6.247213110E-3
4.918987333E0,-3.225094453E-2,-4.631534964E-2,2.272919053E-3
4.939032333E0,-3.413528204E-2,-3.456739709E-2,8.964173496E-3
4.959076333E0,-1.830202527E-2,-2.012384869E-2,1.412896626E-2
4.979120333E0,1.205278933E-2,8.459906094E-3,1.371021010E-2
4.999164333E0,4.725248367E-2,3.710668534E-2,9.632751346E-3
5.019208333E0,5.131029710E-2,2.885540575E-2,3.995593637E-3
5.039252333E0,4.634042829E-2,2.166663483E-2,-1.479319064E-3
5.059296333E0,3.185224906E-2,2.229699865E-2,-7.703437936E-3
5.079340333E0,2.747846581E-2,-6.197385490E-3,-7.776909508E-3
5.099384333E0,1.912185550E-2,-2.881518006E-2,-9.016864002E-3
5.119429333E0,1.261031069E-2,-3.371694684E-2,-1.032400504E-2
5.139473333E0,2.191820368E-2,-2.003804967E-2,-1.380077656E-2
5.159517333E0,3.644810617E-2,-2.943245322E-2,-1.639350690E-2
5.179561333E0,4.705861211E-2,-9.878983721E-3,-1.805192232E-2
5.199605333E0,6.242398918E-2,3.843661770E-2,-1.025312021E-2
5.219649333E0,8.359573781E-2,1.075600311E-1,-1.780916937E-3
5.239693333E0,9.551031888E-2,1.325220317E-1,3.086891957E-3
5.259737333E0,9.184205532E-2,1.322949827E-1,3.726659343E-3
5.279782333E0,6.828632206E-2,1.223921329E-1,-3.825670574E-4
5.299826333E0,4.148736224E-2,9.859007597E-2,-4.751109518E-3
5.319870333E0,1.800024137E-2,6.208382919E-2,-1.227379963E-2
5.339914333E0,-7.186221890E-3,3.741411865E-2,-1.792363264E-2
5.359958333E0,-2.146547660E-2,3.839826584E-2,-2.399172634E-2
5.380002333E0,-1.801211573E-2,4.444902018E-2,-2.376606129E-2
5.400046333E0,-3.159754910E-3,3.527996317E-2,-1.878449135E-2
5.420090333E0,8.540310897E-3,3.579715267E-2,-1.153323613E-2
5.440134583E0,2.217099071E-2,4.775453731E-2,-1.641318668E-3
5.460179583E0,2.677017450E-2,7.330862433E-2,6.660995074E-3
5.480223583E0,1.807694696E-2,8.142206073E-2,9.288435802E-3
5.500267583E0,9.239976062E-4,6.668199599E-2,1.003165822E-2
5.520311583E0,-1.457027998E-2,4.805270582E-2,7.230061572E-3
5.540355583E0,-1.929928921E-2,4.259179160E-2,2.458866686E-3
5.560399583E0,-1.370603032E-2,4.508518800E-2,5.142523441E-3
5.580443583E0,-1.985171111E-3,4.005299509E-2,6.284874398E-3
5.600487583E0,1.390339155E-2,1.851451769E-2,1.274302695E-2
5.620532583E0,1.283309422E-2,-6.199197844E-3,2.578205243E-2
5.640576583E0,-6.044354290E-3,-4.940343648E-2,3.880415112E-2
5.660620583E0,-5.776027963E-2,-1.069924235E-1,4.570786282E-2
5.680664583E0,-1.215556264E-1,-1.868538707E-1,4.298103973E-2
5.700708583E0,-1.815754175E-1,-2.482313663E-1,2.395061031E-2
5.720752583E0,-1.863502562E-1,-2.556227148E-1,7.448534481E-3
5.740796583E0,-1.283950210E-1,-2.164599001E-1,1.895839232E-3
5.760840583E0,-4.618173093E-2,-1.479128599E-1,7.284341380E-3
