"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.318415583E0,6.799767613E-1,-1.161661506E0,1.617123932E-1
7.338457583E0,7.748248577E-1,-7.940913439E-1,2.134235203E-2
7.358499583E0,7.856051922E-1,-4.821915925E-1,-1.141760349E-1
7.378541583E0,7.358301878E-1,-4.432029128E-1,-1.543407738E-1
7.398583583E0,7.043393850E-1,-5.843997598E-1,-1.362886131E-1
7.418625583E0,7.072322369E-1,-6.659221649E-1,-1.229931265E-1
7.438667583E0,7.708454132E-1,-4.245813191E-1,-1.232339591E-1
7.458709583E0,7.049998045E-1,-1.506496221E-1,-1.915021837E-1
7.478751583E0,5.662828088E-1,-4.407111406E-1,-2.128735632E-1
7.498793583E0,5.126011372E-1,-8.793107271E-1,-9.825319052E-2
7.518835583E0,4.867880642E-1,-8.902559280E-1,-4.637490958E-2
7.538877583E0,4.037697315E-1,-6.818914413E-1,-9.783043712E-2
7.558919583E0,2.857796550E-1,-6.315991282E-1,-8.920783550E-2
7.578961583E0,-1.000530571E-1,-6.974135041E-1,-1.715976745E-2
