Time (s),Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,activity_label
103.4209615,-0.7845185852,9.918075256,0.07768844604,-0.02527305111,-0.04292463884,-7.21742399e-05,5
103.4410035,-0.7420069885,9.848470001,-0.08681945801,-0.03577888757,-0.1198280752,0.0143167004,5
103.4610445,-0.8885522461,9.680818634,-0.110919342,-0.04985029995,-0.1929413825,0.008973811753,5
103.4810855,-1.011446686,9.615254974,0.001945953369,-0.04067198187,-0.02774409205,-0.01472123154,5
103.5011275,-0.9198371887,9.534872131,-0.02365081787,-0.02064374648,0.1138212085,-0.02706989832,5
103.5211685,-0.9424401855,9.775272217,0.01137634277,0.00518359011,0.09336999059,-0.02374653891,5
103.5412105,-0.9340576172,9.8299086,0.1486408997,0.02820941433,0.0498139523,-0.007634405512,5
103.5612515,-0.9313632202,9.706565094,0.07873626709,0.04132521525,-0.0005142348818,-0.003063039854,5
103.5812925,-0.9397457886,9.662706299,0.02155517578,0.01772734523,0.04381430894,-0.01738551259,5
103.6013345,-0.9391470337,9.698332214,-0.09370513916,0.0003647991689,0.05970464647,-0.0225193426,5
103.6213751,-1.01563797,9.768985291,0.1309776306,0.02910590172,0.1011608616,-0.02265709639,5
103.6414161,-0.9982740784,9.745783539,0.1059796143,0.05658179894,0.1617178172,-0.01154437475,5
103.6614581,-1.00740509,9.80176712,-0.1383123779,0.00696597714,0.1272593439,-0.008996193297,5
103.6814991,-1.053808594,9.714648285,0.03263214111,-0.01940704137,0.004876174964,-0.01713934168,5
103.7015411,-1.171014862,9.653724976,-0.1182540894,-0.000677428674,0.04896073788,-0.01454855874,5
103.7215821,-1.190923462,9.663005676,-0.159717865,0.001552303787,0.07591059059,-0.01687692292,5
103.7416231,-1.248852997,9.741143188,-0.2469863892,0.004959417973,0.1020839438,-0.01333958469,5
103.7616651,-1.267414398,9.701475677,-0.2204914856,0.0172690805,0.08971961588,-0.005502865184,5
103.7817061,-1.260977783,9.659413147,-0.04326004028,0.06199540943,0.09747116268,-0.001022255048,5
103.8017471,-1.234782257,9.742340698,-0.1510359192,0.06765528768,0.1328028291,-0.01679137349,5
103.8217891,-1.220711517,9.844727783,-0.1399589539,0.018570235,0.01059806533,-0.03202389553,5
103.8418301,-1.421893158,9.534123688,0.4052073669,0.04222649336,-0.03012004867,-0.03590332344,5
103.8618721,-1.280736694,10.05863297,0.009280700684,0.002998532727,-0.09591978788,-0.04898265004,5
103.8819131,-1.083746338,9.924062805,-0.01092727661,-0.08204105496,-0.1791996807,-0.006022235844,5
103.9019541,-1.232536926,9.725575562,0.3611988831,-0.06022191793,-0.120648101,-0.002026004717,5
103.9219961,-0.9851014709,9.443562012,0.2546205139,-0.05368771777,0.1273068488,-0.04863581806,5
103.9420371,-1.145418091,9.801617432,0.08816665649,-0.1066993326,0.1063181087,-0.06825391948,5
103.9620781,-1.335672455,9.743238831,0.3888912964,-0.1232444867,-0.01368062012,-0.05550392345,5
103.9821201,-1.115779724,9.774374084,0.4052073669,-0.07715862244,0.01947714388,-0.04124515131,5
104.0021611,-1.069076843,9.808652802,0.177381134,-0.06296423823,-0.06361077726,0.01284626499,5
104.0222031,-1.130748596,9.550589447,0.2365081787,-0.04106806219,0.007015242707,0.01862633415,5
104.0422441,-1.207389221,9.593699799,0.08427474976,-0.02597186528,0.05162899196,0.0009632396977,5
104.0622851,-1.290765839,9.588011627,0.2924917603,-0.01054111216,0.0652198568,0.004667967558,5
104.0823271,-1.409319305,9.765093384,0.3351530457,0.000526386546,0.05136489123,0.002958857454,5
104.1023681,-1.257534943,9.764794006,0.2673440552,-0.03722958267,0.009857577272,-0.008282989264,5
104.1224091,-1.010847931,9.655072174,0.1079255676,-0.08732363582,-0.06867459416,-0.01568914019,5
104.1424511,-0.9650431824,9.690249023,0.1137634277,-0.07283611596,-0.01150198188,-0.003872582223,5
104.1624921,-1.034947815,9.717642059,0.107177124,-0.02843402326,0.04930848628,0.006870538928,5
104.1825341,-1.165027313,9.669292603,0.07514373779,0.009393780492,0.04944433644,0.01083478425,5
104.2025751,-1.186881866,9.684261475,0.2947370911,0.002152379835,0.1550563276,0.003869010601,5
104.2226161,-1.145418091,9.760752411,0.1372645569,-0.045504421,0.1795804501,-0.007608835585,5
104.2426581,-1.173260193,9.72572525,0.2456391907,-0.05977104232,0.0254306905,0.002244703704,5
104.2626991,-1.221010895,9.66959198,0.1176553345,-0.035278216,0.02571884543,0.01254554465,5
104.2827401,-1.228794708,9.608968048,0.01242416382,-0.0474428013,0.09171759337,0.004150460009,5
104.3027821,-1.200054474,9.69653595,-0.007185058594,-0.05506763235,0.1168716922,-0.006593315862,5
104.3228231,-1.161584473,9.756411438,0.1357676697,-0.02895267494,0.1193059087,-0.003705393989,5
104.3428651,-1.13029953,9.698930969,0.00643661499,-0.01805262268,0.1560320854,-0.009552515112,5
104.3629061,-1.294358368,9.681866455,0.1369651794,-0.02389905974,0.1333956718,-0.00128303282,5
104.3829471,-1.417701874,9.775571594,0.2121089172,-0.01231557596,0.1645168811,-0.008386582136,5
104.4029891,-1.395098877,9.731263733,0.1953437805,-0.04124662653,0.1724884957,-0.02243321761,5
104.4230301,-1.18298996,9.649384003,0.2195933533,-0.0708258301,0.08197268844,-0.02155874297,5
104.4430721,-1.072669373,9.695637817,0.1489402771,-0.05190392956,-0.01041203737,-0.01199015882,5
104.4631131,-1.059496765,9.744286652,-0.05628295898,-0.06165815517,-0.002938595135,-0.01691945456,5
104.4831541,-1.274898834,9.839189301,0.1178050232,-0.04889782146,0.07642164826,-0.009169018827,5
104.5031961,-1.369502106,9.735005951,0.4596940613,-0.0006528613158,0.2101230472,0.0001842160709,5
104.5232371,-1.142873383,9.631271667,0.2802172852,-0.03481202945,0.2320493907,-0.001138797496,5
104.5432781,-1.143921204,9.700427856,0.1686991882,-0.08941688389,0.03545774519,-5.621835589e-05,5
104.5633201,-1.385518799,9.772278442,0.1001417542,-0.0691934377,-0.0737035498,-0.0001539050136,5
104.5833611,-1.39704483,9.664053497,0.2312690735,-0.04611768201,0.08037162572,-0.003257332835,5
104.6034031,-1.241368561,9.645342407,0.2486329651,-0.03773371875,0.2535586357,0.001253790571,5
104.6234444,-1.241218872,9.720486145,0.2294728088,-0.03828745335,0.1327794641,0.003898793133,5
104.6434854,-1.373394012,9.727371826,0.1785786438,-0.04406172037,0.004193659872,-0.001662741648,5
104.6635274,-1.371897125,9.670639801,0.2001338196,-0.06051100045,0.08925486356,-0.01206733566,5
104.6835684,-1.228046265,9.717941437,0.243842926,-0.07168988883,0.1638412476,-0.01814951748,5
104.7036104,-1.203796692,9.781409454,0.302820282,-0.06158971414,0.1300444454,-0.005549569614,5
104.7236514,-1.388512573,9.743987274,0.4188290405,-0.05385449529,0.05207692832,0.001635905588,5
104.7436924,-1.325493622,9.70357132,0.5589376831,-0.04608306289,0.06659395248,0.001025934122,5
104.7637344,-1.22505249,9.716145172,0.4314028931,-0.06995264441,0.05383076891,-0.0009941258468,5
104.7837754,-1.142873383,9.636510773,0.2209405518,-0.09961026907,-0.05211262777,-0.006864585914,5
104.8038164,-1.189276886,9.668544159,0.3864962769,-0.08485648781,-0.04231564701,-0.01784395427,5
104.8238584,-1.049168243,9.705666962,0.3468287659,-0.05717159808,0.09802942723,-0.02603295445,5
104.8438994,-1.148112488,9.878258057,0.3965254211,-0.04968698323,0.1207133383,-0.01924604736,5
104.8639414,-1.163380737,9.704020386,0.5840853882,-0.0174465552,0.1199114844,-0.003719817614,5
104.8839824,-1.055006104,9.598340149,0.4264631653,0.004873064347,0.07420454174,0.01164039038,5
