"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.205325417E0,-5.605842590E-1,9.549990692E0,2.334096222E0
2.225367417E0,-5.131329346E-1,9.583520966E0,1.818119202E0
2.245409417E0,-4.736151123E-1,9.501042480E0,2.317929840E0
2.265451417E0,-5.282514954E-1,9.510622559E0,2.414778442E0
2.285493417E0,-8.858578491E-1,9.650880890E0,1.984123993E0
2.305535417E0,-7.626640320E-1,9.676926727E0,2.052531738E0
2.325577417E0,-4.456233215E-1,9.733658752E0,2.418221283E0
2.345619417E0,-5.649252319E-1,9.608968048E0,1.990560608E0
2.365661417E0,-5.468128967E-1,9.741442566E0,1.962718506E0
2.385703417E0,-7.797285461E-1,9.558672638E0,2.198627930E0
2.405745417E0,-4.317022705E-1,9.542206879E0,2.356848907E0
2.425786417E0,-5.378315735E-1,9.606423340E0,1.752405853E0
2.445828417E0,-4.417314148E-1,9.491612091E0,2.013013916E0
2.465870417E0,-4.806504822E-1,9.375453644E0,2.278112640E0
2.485912417E0,-5.758525085E-1,9.419761505E0,2.224374390E0
2.505954417E0,-5.710624695E-1,9.512119446E0,2.048340454E0
2.525996417E0,-6.313870239E-1,9.475445709E0,2.199076996E0
2.546038417E0,-6.349795532E-1,9.457333374E0,2.180066528E0
2.566080417E0,-5.025050354E-1,9.560917969E0,2.374212799E0
2.586122417E0,-6.587800598E-1,9.567953339E0,2.159708862E0
2.606164417E0,-7.171586609E-1,9.495204620E0,2.075733490E0
2.626206417E0,-4.547543335E-1,9.490713959E0,2.695295105E0
2.646248417E0,-7.595205688E-1,9.561067657E0,2.627486115E0
2.666290417E0,-6.509962463E-1,9.372609558E0,2.452350311E0
2.686332417E0,-6.954537964E-1,9.482181702E0,2.166893921E0
2.706373417E0,-7.403604126E-1,9.356892242E0,2.617157593E0
2.726415417E0,-7.870632935E-1,9.456435242E0,2.510279846E0
2.746457417E0,-8.149053955E-1,9.503886566E0,2.622546387E0
2.766499417E0,-6.234535217E-1,9.355844421E0,2.677781525E0
2.786541417E0,-5.867797852E-1,9.261540527E0,2.462828522E0
2.806583417E0,-7.581733704E-1,9.328750763E0,2.216291199E0
2.826625417E0,-7.634124756E-1,9.387129364E0,2.594255219E0
2.846667417E0,-7.607180786E-1,9.438173218E0,2.484832764E0
2.866709167E0,-8.984317017E-1,9.383536835E0,2.383792877E0
2.886751167E0,-7.812254333E-1,9.474846954E0,2.217488708E0
2.906793167E0,-5.200186157E-1,9.546398163E0,2.655328217E0
2.926835167E0,-7.890092468E-1,9.447902985E0,2.198927307E0
2.946876167E0,-7.918533325E-1,9.387428741E0,2.240690460E0
2.966918167E0,-7.454498291E-1,9.517059174E0,2.594255219E0
2.986960167E0,-7.515870667E-1,9.463470612E0,2.553090820E0
3.007002167E0,-6.731501770E-1,9.499096527E0,2.277813263E0
3.027044167E0,-6.761439514E-1,9.484427032E0,2.213596802E0
3.047086167E0,-7.699987793E-1,9.511670380E0,2.375859375E0
3.067128167E0,-6.634204102E-1,9.464668121E0,2.401755524E0
3.087170167E0,-7.268884277E-1,9.516460419E0,2.233056335E0
3.107212167E0,-7.343728638E-1,9.515262909E0,2.342628479E0
3.127254167E0,-7.378157043E-1,9.503736877E0,2.265838165E0
3.147296167E0,-8.418493652E-1,9.456285553E0,2.173629913E0
3.167338167E0,-7.453001404E-1,9.477840729E0,2.323917389E0
3.187379167E0,-6.909631348E-1,9.501491547E0,2.356399841E0
3.207421167E0,-6.087840271E-1,9.429790649E0,2.423161011E0
3.227463167E0,-6.286926270E-1,9.427994385E0,2.376757507E0
3.247505167E0,-6.614744568E-1,9.517957306E0,2.258952484E0
3.267547167E0,-6.548881531E-1,9.496851196E0,2.377206573E0
3.287589167E0,-8.069718933E-1,9.341773682E0,2.510279846E0
3.307631167E0,-7.297325134E-1,9.365125122E0,2.382295990E0
3.327673167E0,-6.538403320E-1,9.531279602E0,2.164199524E0
3.347715167E0,-7.773335266E-1,9.476643219E0,2.373913422E0
3.367757167E0,-7.277865601E-1,9.483977966E0,2.529140625E0
3.387798167E0,-7.411088562E-1,9.530680847E0,2.451003113E0
3.407840167E0,-7.792794800E-1,9.420809326E0,2.296524353E0
3.427882167E0,-6.960525513E-1,9.402098236E0,2.429447937E0
3.447924167E0,-6.215075684E-1,9.510622559E0,2.419119415E0
3.467966167E0,-6.933581543E-1,9.413025513E0,2.542762299E0
3.488008167E0,-6.580316162E-1,9.467063141E0,2.597099304E0
3.508050167E0,-6.307882690E-1,9.472751312E0,2.412383423E0
3.528092167E0,-6.804849243E-1,9.468560028E0,2.357747040E0
3.548134167E0,-6.237528992E-1,9.435927887E0,2.399809570E0
3.568176167E0,-6.650669861E-1,9.448352051E0,2.504891052E0
3.588217167E0,-6.716532898E-1,9.501940613E0,2.485581207E0
3.608259167E0,-7.156617737E-1,9.481582947E0,2.334694977E0
3.628301167E0,-6.532415771E-1,9.495503998E0,2.398612061E0
3.648343167E0,-7.288343811E-1,9.434281311E0,2.252665558E0
3.668385167E0,-6.821315002E-1,9.482331390E0,2.354902954E0
3.688427167E0,-7.937992859E-1,9.461824036E0,2.292183380E0
3.708469167E0,-7.590715027E-1,9.442813568E0,2.528841248E0
3.728511167E0,-6.930587769E-1,9.504036255E0,2.405497742E0
3.748553167E0,-6.315367126E-1,9.451645203E0,2.452649689E0
3.768594167E0,-6.168672180E-1,9.454938354E0,2.311642914E0
3.788636167E0,-7.538323975E-1,9.473649445E0,2.251917114E0
3.808678167E0,-6.815327454E-1,9.452693024E0,2.470312958E0
3.828720167E0,-7.232958984E-1,9.471703491E0,2.391576691E0
3.848762292E0,-6.944059753E-1,9.438921661E0,2.483784943E0
3.868804292E0,-7.801776123E-1,9.418863373E0,2.517464905E0
3.888846292E0,-8.087681580E-1,9.469158783E0,2.319726105E0
3.908888292E0,-6.987469482E-1,9.452842712E0,2.522105255E0
3.928929292E0,-6.957531738E-1,9.425000610E0,2.398911438E0
3.948971292E0,-7.412585449E-1,9.406588898E0,2.245031433E0
3.969013292E0,-6.577322388E-1,9.484427032E0,2.518213348E0
3.989055292E0,-7.812254333E-1,9.473200378E0,2.513722687E0
4.009097292E0,-7.915539551E-1,9.408385162E0,2.600242767E0
4.029139292E0,-9.241781616E-1,9.425898743E0,2.349214783E0
4.049181292E0,-7.870632935E-1,9.330996094E0,2.511926422E0
4.069223292E0,-7.417076111E-1,9.453142090E0,2.412383423E0
4.089264292E0,-8.282276917E-1,9.463919678E0,2.423460388E0
4.109306292E0,-8.273295593E-1,9.466314697E0,2.517165527E0
4.129348292E0,-7.863148499E-1,9.489516449E0,2.529889069E0
4.149390292E0,-7.939489746E-1,9.475745087E0,2.423759766E0
4.169432292E0,-8.155041504E-1,9.422904968E0,2.376158752E0
4.189474292E0,-7.018904114E-1,9.350006561E0,2.837200012E0
4.209516292E0,-6.896159363E-1,9.336534576E0,2.664010162E0
4.229558292E0,-7.318281555E-1,9.378447418E0,2.555635529E0
4.249599292E0,-7.077282715E-1,9.457483063E0,2.523751831E0
4.269641292E0,-7.726931763E-1,9.451046448E0,2.573598175E0
4.289683292E0,-7.782316589E-1,9.422156525E0,2.581681366E0
4.309725292E0,-7.125183105E-1,9.379046173E0,2.654430084E0
4.329767292E0,-6.801855469E-1,9.452094269E0,2.523751831E0
4.349809292E0,-6.255491638E-1,9.378746796E0,2.664309540E0
4.369851292E0,-6.429130554E-1,9.376351776E0,2.676733704E0
4.389893292E0,-6.044430542E-1,9.470655670E0,2.514321442E0
4.409934292E0,-6.391708374E-1,9.394613800E0,2.515518951E0
4.429976292E0,-7.072792053E-1,9.369017029E0,2.605631561E0
4.450018292E0,-6.174659729E-1,9.422455902E0,2.521506500E0
4.470060292E0,-5.596861267E-1,9.413025513E0,2.541265411E0
4.490102292E0,-6.837780762E-1,9.391620026E0,2.559377747E0
4.510144292E0,-7.213499451E-1,9.469308472E0,2.526146851E0
4.530186292E0,-7.906558228E-1,9.361083527E0,2.562521210E0
4.550227292E0,-7.129673767E-1,9.400601349E0,2.603386230E0
4.570269292E0,-6.273454285E-1,9.503886566E0,2.547103271E0
4.590311292E0,-6.451583862E-1,9.422006836E0,2.559228058E0
4.610353292E0,-6.765930176E-1,9.417516174E0,2.591261444E0
4.630395292E0,-6.285429382E-1,9.409133606E0,2.609224091E0
4.650437292E0,-6.093827820E-1,9.399703217E0,2.692900085E0
4.670479292E0,-6.927593994E-1,9.439819794E0,2.637814636E0
4.690520292E0,-6.200106812E-1,9.464069366E0,2.588117981E0
4.710562292E0,-5.396278381E-1,9.385482788E0,2.654430084E0
4.730604292E0,-5.852828979E-1,9.373507690E0,2.546803894E0
4.750646292E0,-6.120771790E-1,9.445957031E0,2.529440002E0
4.770688292E0,-7.457492065E-1,9.402098236E0,2.607427826E0
4.790730292E0,-7.526348877E-1,9.395960999E0,2.544408875E0
4.810772292E0,-6.872209167E-1,9.446555786E0,2.635718994E0
4.830813292E0,-7.141648865E-1,9.444460144E0,2.581681366E0
4.850855583E0,-7.964936829E-1,9.381740570E0,2.523901520E0
4.870897583E0,-6.978488159E-1,9.440568237E0,2.576442261E0
4.890939583E0,-6.704557800E-1,9.410480804E0,2.599194946E0
4.910981583E0,-5.930667114E-1,9.381291504E0,2.610720978E0
4.931023583E0,-6.701564026E-1,9.351054382E0,2.597248993E0
4.951065583E0,-6.917115784E-1,9.376052399E0,2.625240784E0
4.971106583E0,-6.563850403E-1,9.402846680E0,2.592758331E0
4.991148583E0,-5.930667114E-1,9.431287537E0,2.765349426E0
5.011190583E0,-6.830296326E-1,9.413923645E0,2.550995178E0
5.031232583E0,-7.632627869E-1,9.345216522E0,2.681673431E0
5.051274583E0,-7.306306458E-1,9.405690765E0,2.758763123E0
5.071316583E0,-7.036866760E-1,9.442065125E0,2.564616852E0
5.091357583E0,-5.987548828E-1,9.464668121E0,2.687511292E0
5.111399583E0,-6.459068298E-1,9.435179443E0,2.654579773E0
5.131441583E0,-6.421646118E-1,9.406738586E0,2.705473938E0
5.151483583E0,-6.345304871E-1,9.325756989E0,2.654729462E0
5.171525583E0,-6.938072205E-1,9.366172943E0,2.640808411E0
5.191567583E0,-6.584806824E-1,9.348060608E0,2.685715027E0
5.211608583E0,-6.388714600E-1,9.379046173E0,2.672392731E0
5.231650583E0,-7.194039917E-1,9.402846680E0,2.525398407E0
5.251692583E0,-6.930587769E-1,9.471254425E0,2.590213623E0
5.271734583E0,-7.749385071E-1,9.465865631E0,2.488125916E0
5.291776583E0,-6.659651184E-1,9.446705475E0,2.682421875E0
5.311818583E0,-6.800358582E-1,9.369466095E0,2.693049774E0
5.331859583E0,-6.743476868E-1,9.367669830E0,2.634671173E0
5.351901583E0,-7.948471069E-1,9.689500580E0,2.584675140E0
5.371943583E0,-8.488847351E-1,9.713001709E0,2.658920746E0
5.391985583E0,-7.926017761E-1,9.457782440E0,2.769840088E0
5.412027583E0,-5.610333252E-1,9.210646362E0,2.779270477E0
5.432069583E0,-6.749464417E-1,9.245074768E0,3.028502197E0
5.452110583E0,-8.545729065E-1,9.363328857E0,3.020419006E0
5.472152583E0,-8.927435303E-1,9.344617767E0,2.738405457E0
5.492194583E0,-1.141226807E0,9.037007446E0,2.589165802E0
5.512236583E0,-1.255439301E0,9.083860016E0,2.956352234E0
5.532278583E0,-1.001567230E0,9.592951355E0,3.842659149E0
5.552320583E0,-8.637039185E-1,9.470206604E0,4.088298340E0
5.572362583E0,-8.174501038E-1,9.380692749E0,3.936064911E0
